0;après coup, je me suis rendu compte d'erreurs sur le contrat automobile 
1;même en tant qu'employé, le prix de l'assurance auto est le double de vos concurrents. j'imagine le tarif pour un client normal. 
2;très bien mais les prix ne sont pas compétitifs
3;jamais la bonne personne en ligne délais de réponse plutôt long 
4;le service client est très bien et me convient. cependant, les coûts d'assurance restent à l'appréciation de tout un chacun
5;l'assurance protection juridique est à prendre à la pincette.
6;même exacte, selon les cg de mon contrat auto, la réponse donnée n'était pas celle que j'attendais.
7;le service client est très à l'écoute, patient,  prend en compte vos demandes et propose des alternatives lorsque c'est nécessaire. récapitule vos demandes et nous demande confirmation et si l'on a d'autres questions. pas trop de temps d'attente pour avoir un conseiller. tout était parfait. merci
8;assurance auto trop chère, mais réponse et explications des opérateurs très bonne 
9;je n'ai pas été satisfait par l'assurance protection juridique. 
10;le service client est exceptionnel 
11;l'accueil, l'écoute et la bienveillance du service client était très agréable. 
12;4 appels concernant mon assurance automobile et 4 réponses différentes...
13;très cher par rapport à la concurrence
14;j'ai eu des réponses acquis pour assurer mon fils sur mon véhicule 
15;assurance juridique ne sers a rien 
16;le service client très bien, juste les tarifs ne sont pas du tout compétitifs à conditions égales 
17;bonne capacité d'écoute. traitement assez rapide de la demande. temps d'attente au téléphone un peu long.
18;j'apprécie beaucoup le service client et aussi l'assurance 
19;pas du tout satisfait suite à mon contrat assurance voiture
20;je parle ici par rapport à l'assurance juridique. les conseils des juristes sont plutôt inutiles.  
21;le tarif proposé est hors de prix par rapport à la concurrence.  un prospect a un meilleur tarif qu'un client ce qui n'encour****age pas à être fidèle. je vais aller à la concurrence où j'ai un meilleur tarif. 
22;client et salarié je suis très déçu de ma résiliation de mon contrat auto !!!!!
23;temps de réponse rapide très agréable 
24;l'assurance juridique sert à quoi. j'ai un souci au tribunal et vous pouvez pas m'aider. je très déçu de votre service !!! 
25;délais trop long pour vos réponses, envoies des mêmes documents ( 2 , 3 fois ). pour vous avoir au téléphone c' est très très long.  le point positif, les personnes que vous avez au téléphone a l'écoute de vos soucis et d'une gentillesse.      
26;j'ai toujours eu un bon contact avec le service client les personnes sont aimables .... lerci
27;parce que le service client est très agréable 
28;temps d'attente ok et réponse adaptée.
29;car j'ai était déçu a la suite de la résiliation de mon contrat assurance voiture 
30;aucun prise en charge sur tout vos contrats protection juridique même constat.
31;ayant travaillée 41 ans je reste fidèle mais je trouve le tarif un peu cher pour une ancienne employée de plus nous avons tous nos contats assurance.
32;je suis très satisfait du service client 
33;des réponses claires, une prise en charge rapide. peut-être juste un temps d'attente au téléphone qui parait long lorsqu'on a des problèmes :) 
34;mis à part le temps d'attente, très bon accueil réponse rapide et efficace
35;je trouve les prix un peu élevé par rapport à la concurrence.
36;réponses claires precises personne tres aimables le service client est tellement important
37;problèmes à la résiliation du contrat d'assurance automobile 
38;les conseillers sont réactifs et de très bons conseils. cependant par rapport à la tarification de la mrh et du contrat auto c’est cher par rapport à la concurrence à ce demander s'il existe un service observatoire de la concurrence ? 
39;désolée  mais je n'ai  absolument  rien compris  pour mon problème  de protection  juridique. 
40;le service client est exceptionnel, ils ont tous une très bonne elocution, comprennent très vite les problématiques et orientent très bien l'assurée (moi) et comparé à d'autres services clients cela se remarque énormément et c'est donc toujours un plaisir pour moi d'appeler malgré les circonstances pas toujours joyeuses (sinistres, reclamations etc)
41;parce que actuellement je pense que l’assurance est un tant soit peu élevée par rapport à d'autres présentant les mêmes garanties 
42;est une assurance sérieuse. les tarif au niveau des assurance sont abordable.
43;qualité de la réponse et délai d'attente 
44;parceque suis pas satisfait de vos services juridiques, j'ai demandé une protection et ya eu refus de prise en charge par vos juriste alors que c'est notifié dans les garanties de protection juridique, 
45;l'assurance juridique ne permet pas de l'utiliser dans un cas de contentieux avec l'assureur. pour être couvert il faut donc prendre une assurance ailleurs...
46;finalement la protection juridique est très limitée lorsque qu'on a un problème 
47;attente trop longue toujours les répondeurs c'est épuisant 
48;pour mon assurance automobile. très satisfait 
49;efficacité et temps de réponse